Date,NDVI_avg,Num_Pixels
2019-001,0.385,1651004.0
2019-009,0.383,612034.0
2019-017,0.463,547916.0
2019-025,0.393,1014902.0
2019-033,0.385,1642988.0
2019-041,0.364,5130747.0
2019-049,0.370,7267112.0
2019-057,0.361,8258280.0
2019-065,0.363,10982323.0
2019-073,0.371,11700491.0
2019-081,0.392,12447719.0
2019-089,0.392,14476959.0
2019-097,0.421,12235720.0
2019-105,0.465,12163085.0
2019-113,0.494,14336187.0
2019-121,0.586,13205112.0
2019-129,0.648,9605287.0
2019-137,0.669,13858469.0
2019-145,0.696,14063290.0
2019-153,0.729,14101412.0
2019-161,0.704,13697497.0
2019-169,0.697,14462498.0
2019-177,0.676,14249173.0
2019-185,0.647,10020403.0
2019-193,0.653,10202645.0
2019-201,0.668,13480657.0
2019-209,0.649,12834565.0
2019-217,0.643,13728219.0
2019-225,0.627,14557455.0
2019-233,0.578,14553926.0
2019-241,0.545,14538247.0
2019-249,0.512,14373241.0
2019-257,0.481,11587455.0
2019-265,0.499,12057581.0
2019-273,0.449,13118821.0
2019-281,0.439,13822297.0
2019-289,0.436,14129143.0
2019-297,0.453,12327096.0
2019-305,0.430,10959420.0
2019-313,0.470,10194428.0
2019-321,0.472,10333122.0
2019-329,0.491,8783902.0
2019-337,0.503,6866316.0
2019-345,0.474,6532205.0
2019-353,0.456,7721581.0
2019-361,0.477,4257430.0
