Date,NDVI_avg,Num_Pixels
2018-001,0.521,7996044.0
2018-009,0.446,9876450.0
2018-017,0.467,125833.0
2018-025,0.392,1949691.0
2018-033,0.394,1989717.0
2018-041,0.409,778277.0
2018-049,0.398,2443961.0
2018-057,0.347,633400.0
2018-065,0.362,2260423.0
2018-073,0.415,1331545.0
2018-081,0.378,1961400.0
2018-089,0.376,10212882.0
2018-097,0.399,14496324.0
2018-105,0.451,14512809.0
2018-113,0.527,14214868.0
2018-121,0.560,14556452.0
2018-129,0.622,14462327.0
2018-137,0.661,13916355.0
2018-145,0.647,14539543.0
2018-153,0.642,14512940.0
2018-161,0.642,13506776.0
2018-169,0.668,14386234.0
2018-177,0.661,10454631.0
2018-185,0.680,13357539.0
2018-193,0.674,9983118.0
2018-201,0.684,9695730.0
2018-209,0.704,14378051.0
2018-217,0.670,14569937.0
2018-225,0.640,14448654.0
2018-233,0.599,14567702.0
2018-241,0.555,14493578.0
2018-249,0.564,12290662.0
2018-257,0.548,14488839.0
2018-265,0.533,14275308.0
2018-273,0.523,14338936.0
2018-281,0.488,14313550.0
2018-289,0.462,14256330.0
2018-297,0.428,5583431.0
2018-305,0.488,12987336.0
2018-313,0.459,12587758.0
2018-321,0.524,5301505.0
2018-329,0.480,3230159.0
2018-337,0.429,1900815.0
2018-345,0.417,1461764.0
2018-353,0.411,400839.0
2018-361,0.420,1478916.0
